RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,Hargrave,619,France,Female,42,2,0,1,1,1,10134888,1
2,15647311,Hill,608,Spain,Female,41,1,8380786,1,0,1,11254258,0
3,15619304,Onio,502,France,Female,42,8,1596608,3,1,0,11393157,1
4,15701354,Boni,699,France,Female,39,1,0,2,0,0,9382663,0
5,15737888,Mitchell,850,Spain,Female,43,2,12551082,1,1,1,790841,0
6,15574012,Chu,645,Spain,Male,44,8,11375578,2,1,0,14975671,1
7,15592531,Bartlett,822,France,Male,50,7,0,2,1,1,100628,0
8,15656148,Obinna,376,Germany,Female,29,4,11504674,4,1,0,11934688,1
9,15792365,He,501,France,Male,44,4,14205107,2,0,1,749405,0
10,15592389,H?,684,France,Male,27,2,13460388,1,1,1,7172573,0
11,15767821,Bearce,528,France,Male,31,6,10201672,2,0,0,8018112,0
12,15737173,Andrews,497,Spain,Male,24,3,0,2,1,0,7639001,0
13,15632264,Kay,476,France,Female,34,10,0,2,1,0,2626098,0
14,15691483,Chin,549,France,Female,25,5,0,2,0,0,19085779,0
15,15600882,Scott,635,Spain,Female,35,7,0,2,1,1,6595165,0
16,15643966,Goforth,616,Germany,Male,45,3,14312941,2,0,1,6432726,0
17,15737452,Romeo,653,Germany,Male,58,1,13260288,1,1,0,509767,1
18,15788218,Henderson,549,Spain,Female,24,9,0,2,1,1,1440641,0
19,15661507,Muldrow,587,Spain,Male,45,6,0,1,0,0,15868481,0
20,15568982,Hao,726,France,Female,24,6,0,2,1,1,5472403,0
21,15577657,McDonald,732,France,Male,41,8,0,2,1,1,17088617,0
22,15597945,Dellucci,636,Spain,Female,32,8,0,2,1,0,13855546,0
23,15699309,Gerasimov,510,Spain,Female,38,4,0,1,1,0,11891353,1
24,15725737,Mosman,669,France,Male,46,3,0,2,0,1,848775,0
25,15625047,Yen,846,France,Female,38,5,0,1,1,1,18761616,0
26,15738191,Maclean,577,France,Male,25,3,0,2,0,1,12450829,0
27,15736816,Young,756,Germany,Male,36,2,13681564,1,1,1,17004195,0
28,15700772,Nebechi,571,France,Male,44,9,0,2,0,0,3843335,0
29,15728693,McWilliams,574,Germany,Female,43,3,14134943,1,1,1,10018743,0
30,15656300,Lucciano,411,France,Male,29,0,5969717,2,1,1,5348321,0
31,15589475,Azikiwe,591,Spain,Female,39,3,0,3,1,0,14046938,1
32,15706552,Odinakachukwu,533,France,Male,36,7,853117,1,0,1,15673191,0
33,15750181,Sanderson,553,Germany,Male,41,9,11011254,2,0,0,8189881,0
34,15659428,Maggard,520,Spain,Female,42,6,0,2,1,1,3441055,0
35,15732963,Clements,722,Spain,Female,29,9,0,2,1,1,14203307,0
